Fecha1,Coincidencia2,mseed
2023-02-18 00:41:03.180000,2023-02-18 00:41:03.190000,VPTE_OV_HH_2023-02-18T00:40:36.400000Z
2023-02-18 00:52:34.600000,2023-02-18 00:52:34.560000,VPTE_OV_HH_2023-02-18T00:52:30.400000Z
2023-02-18 01:02:07.480000,2023-02-18 01:02:07.520000,VPTE_OV_HH_2023-02-18T01:01:36.400000Z
2023-02-18 05:07:24.430000,2023-02-18 05:07:24.420000,VPTE_OV_HH_2023-02-18T05:07:18.400000Z
2023-02-18 05:28:33.640000,2023-02-18 05:28:33.640000,VPTE_OV_HH_2023-02-18T05:28:18.400000Z
2023-02-18 05:56:47.640000,[],VPTE_OV_HH_2023-02-18T05:56:18.400000Z
2023-02-18 06:09:42.600000,2023-02-18 06:09:42.560000,VPTE_OV_HH_2023-02-18T06:09:36.400000Z
2023-02-18 06:37:44.510000,[],VPTE_OV_HH_2023-02-18T06:37:36.400000Z
2023-02-18 06:41:11.540000,2023-02-18 06:41:11.520000,VPTE_OV_HH_2023-02-18T06:41:06.400000Z
2023-02-18 08:41:47.720000,2023-02-18 08:41:47.700000,VPTE_OV_HH_2023-02-18T08:41:30.400000Z
2023-02-18 09:26:25.680000,2023-02-18 09:26:25.680000,VPTE_OV_HH_2023-02-18T09:26:18.400000Z
2023-02-18 09:29:10.480000,2023-02-18 09:29:10.480000,VPTE_OV_HH_2023-02-18T09:29:06.400000Z
2023-02-18 09:39:28.020000,2023-02-18 09:39:28.040000,VPTE_OV_HH_2023-02-18T09:38:54.400000Z
2023-02-18 09:39:43.600000,2023-02-18 09:39:43.600000,VPTE_OV_HH_2023-02-18T09:39:36.400000Z
2023-02-18 10:00:19.600000,2023-02-18 10:00:19.600000,VPTE_OV_HH_2023-02-18T09:59:54.400000Z
2023-02-18 10:10:32.520000,2023-02-18 10:10:32.520000,VPTE_OV_HH_2023-02-18T10:10:24.400000Z
2023-02-18 10:17:32.480000,2023-02-18 10:17:32.520000,VPTE_OV_HH_2023-02-18T10:17:24.400000Z
2023-02-18 10:21:22.440000,2023-02-18 10:21:22.430000,VPTE_OV_HH_2023-02-18T10:20:54.400000Z
2023-02-18 10:27:25.480000,2023-02-18 10:27:25.500000,VPTE_OV_HH_2023-02-18T10:27:12.400000Z
2023-02-18 10:50:23.560000,[],VPTE_OV_HH_2023-02-18T10:50:18.400000Z
2023-02-18 11:01:39.400000,2023-02-18 11:01:39.400000,VPTE_OV_HH_2023-02-18T11:01:30.400000Z
2023-02-18 13:03:22.540000,2023-02-18 13:03:22.560000,VPTE_OV_HH_2023-02-18T13:03:18.400000Z
2023-02-18 13:49:01.490000,2023-02-18 13:49:01.510000,VPTE_OV_HH_2023-02-18T13:48:48.400000Z
2023-02-18 13:57:29.780000,2023-02-18 13:57:29.800000,VPTE_OV_HH_2023-02-18T13:57:12.400000Z
2023-02-18 14:51:10.560000,2023-02-18 14:51:10.550000,VPTE_OV_HH_2023-02-18T14:51:06.400000Z
2023-02-18 16:13:07.520000,2023-02-18 16:13:07.520000,VPTE_OV_HH_2023-02-18T16:13:00.400000Z
2023-02-18 16:15:53.520000,2023-02-18 16:15:53.520000,VPTE_OV_HH_2023-02-18T16:15:48.400000Z
2023-02-18 16:44:39.680000,[],VPTE_OV_HH_2023-02-18T16:44:30.400000Z
2023-02-18 16:58:11.730000,2023-02-18 16:58:11.730000,VPTE_OV_HH_2023-02-18T16:57:48.400000Z
2023-02-18 17:11:11.440000,2023-02-18 17:11:11.440000,VPTE_OV_HH_2023-02-18T17:11:06.400000Z
2023-02-18 17:25:21.960000,2023-02-18 17:25:21.920000,VPTE_OV_HH_2023-02-18T17:25:06.400000Z
2023-02-18 18:35:25.510000,2023-02-18 18:35:25.520000,VPTE_OV_HH_2023-02-18T18:35:06.400000Z
2023-02-18 20:58:09.520000,2023-02-18 20:58:09.520000,VPTE_OV_HH_2023-02-18T20:57:54.400000Z
2023-02-18 22:53:32.520000,2023-02-18 22:53:32.520000,VPTE_OV_HH_2023-02-18T22:53:24.400000Z
2023-02-18 23:29:11.480000,2023-02-18 23:29:11.480000,VPTE_OV_HH_2023-02-18T23:29:06.400000Z
2023-02-18 01:05:28.960000,[],VPTE_OV_HH_2023-02-18T01:05:07.760000Z
2023-02-18 02:00:01.040000,2023-02-18 02:00:01.040000,VPTE_OV_HH_2023-02-18T01:59:43.760000Z
2023-02-18 02:21:06.160000,[],VPTE_OV_HH_2023-02-18T02:20:43.760000Z
2023-02-18 02:25:41.780000,2023-02-18 02:25:41.790000,VPTE_OV_HH_2023-02-18T02:25:37.760000Z
2023-02-18 03:11:01.840000,[],VPTE_OV_HH_2023-02-18T03:10:25.760000Z
2023-02-18 05:51:29.840000,2023-02-18 05:51:29.870000,VPTE_OV_HH_2023-02-18T05:51:25.760000Z
2023-02-18 06:46:08.880000,2023-02-18 06:46:08.880000,VPTE_OV_HH_2023-02-18T06:45:19.760000Z
2023-02-18 08:27:35.760000,2023-02-18 08:27:35.760000,VPTE_OV_HH_2023-02-18T08:27:31.760000Z
2023-02-18 08:34:40.920000,2023-02-18 08:34:40.920000,VPTE_OV_HH_2023-02-18T08:34:31.760000Z
2023-02-18 08:38:41.330000,2023-02-18 08:38:41.320000,VPTE_OV_HH_2023-02-18T08:38:01.760000Z
2023-02-18 08:40:35.240000,2023-02-18 08:40:35.250000,VPTE_OV_HH_2023-02-18T08:40:07.760000Z
2023-02-18 08:46:42.990000,2023-02-18 08:46:42.960000,VPTE_OV_HH_2023-02-18T08:46:25.760000Z
2023-02-18 08:47:15.080000,2023-02-18 08:47:15.030000,VPTE_OV_HH_2023-02-18T08:46:25.760000Z
2023-02-18 09:02:07.920000,[],VPTE_OV_HH_2023-02-18T09:01:49.760000Z
2023-02-18 09:21:32.720000,2023-02-18 09:21:32.720000,VPTE_OV_HH_2023-02-18T09:21:25.760000Z
2023-02-18 09:54:24.800000,2023-02-18 09:54:24.800000,VPTE_OV_HH_2023-02-18T09:54:19.760000Z
2023-02-18 10:06:10.460000,2023-02-18 10:06:10.440000,VPTE_OV_HH_2023-02-18T10:05:31.760000Z
2023-02-18 10:30:58.960000,2023-02-18 10:30:58.960000,VPTE_OV_HH_2023-02-18T10:30:01.760000Z
2023-02-18 11:19:59.080000,[],VPTE_OV_HH_2023-02-18T11:19:01.760000Z
2023-02-18 11:34:29.360000,2023-02-18 11:34:29.360000,VPTE_OV_HH_2023-02-18T11:33:43.760000Z
2023-02-18 11:34:50.720000,2023-02-18 11:34:50.720000,VPTE_OV_HH_2023-02-18T11:34:25.760000Z
2023-02-18 12:08:49.920000,2023-02-18 12:08:49.920000,VPTE_OV_HH_2023-02-18T12:08:43.760000Z
2023-02-18 12:22:14.820000,2023-02-18 12:22:14.820000,VPTE_OV_HH_2023-02-18T12:21:19.760000Z
2023-02-18 12:23:33.200000,2023-02-18 12:23:33.240000,VPTE_OV_HH_2023-02-18T12:22:43.760000Z
2023-02-18 12:24:16.640000,2023-02-18 12:24:16.640000,VPTE_OV_HH_2023-02-18T12:23:25.760000Z
2023-02-18 12:31:45.910000,2023-02-18 12:31:45.880000,VPTE_OV_HH_2023-02-18T12:31:07.760000Z
2023-02-18 12:32:40.760000,[],VPTE_OV_HH_2023-02-18T12:32:31.760000Z
2023-02-18 12:38:26.040000,2023-02-18 12:38:26,VPTE_OV_HH_2023-02-18T12:38:07.760000Z
2023-02-18 13:00:46.750000,2023-02-18 13:00:46.760000,VPTE_OV_HH_2023-02-18T12:59:49.760000Z
2023-02-18 13:41:24.070000,2023-02-18 13:41:24.070000,VPTE_OV_HH_2023-02-18T13:41:07.760000Z
2023-02-18 14:42:15.480000,2023-02-18 14:42:15.510000,VPTE_OV_HH_2023-02-18T14:42:01.760000Z
2023-02-18 15:45:05.120000,2023-02-18 15:45:05.120000,VPTE_OV_HH_2023-02-18T15:44:19.760000Z
2023-02-18 15:56:39.640000,2023-02-18 15:56:39.630000,VPTE_OV_HH_2023-02-18T15:56:13.760000Z
2023-02-18 16:51:14.920000,2023-02-18 16:51:14.920000,VPTE_OV_HH_2023-02-18T16:50:49.760000Z
2023-02-18 18:42:11.920000,2023-02-18 18:42:11.920000,VPTE_OV_HH_2023-02-18T18:42:07.760000Z
2023-02-18 19:01:50.770000,[],VPTE_OV_HH_2023-02-18T19:01:43.760000Z
2023-02-18 03:43:24.170000,2023-02-18 03:43:24.160000,VPTE_OV_HH_2023-02-18T03:43:20.040000Z
2023-02-18 08:31:19.240000,2023-02-18 08:31:19.250000,VPTE_OV_HH_2023-02-18T08:31:02.040000Z
2023-02-18 08:47:54.080000,2023-02-18 08:47:54.080000,VPTE_OV_HH_2023-02-18T08:47:50.040000Z
2023-02-18 09:06:15.480000,2023-02-18 09:06:15.520000,VPTE_OV_HH_2023-02-18T09:06:02.040000Z
2023-02-18 09:56:15.920000,2023-02-18 09:56:15.920000,VPTE_OV_HH_2023-02-18T09:55:44.040000Z
2023-02-18 10:25:49.890000,2023-02-18 10:25:49.920000,VPTE_OV_HH_2023-02-18T10:25:08.040000Z
2023-02-18 13:13:43.240000,2023-02-18 13:13:43.180000,VPTE_OV_HH_2023-02-18T13:13:08.040000Z
2023-02-18 13:37:43.740000,2023-02-18 13:37:43.760000,VPTE_OV_HH_2023-02-18T13:36:56.040000Z
2023-02-18 14:49:30.100000,2023-02-18 14:49:30.120000,VPTE_OV_HH_2023-02-18T14:49:02.040000Z
2023-02-18 17:57:33.160000,2023-02-18 17:57:33.160000,VPTE_OV_HH_2023-02-18T17:57:20.040000Z
2023-02-18 18:01:05.120000,2023-02-18 18:01:05.120000,VPTE_OV_HH_2023-02-18T18:00:50.040000Z
[],2023-02-18 00:54:25.560000,VPTE_OV_HH_2023-02-18T00:53:54.400000Z
[],2023-02-18 09:49:32.520000,VPTE_OV_HH_2023-02-18T09:49:24.400000Z
[],2023-02-18 12:55:01.560000,VPTE_OV_HH_2023-02-18T12:54:54.400000Z
[],2023-02-18 18:21:53.430000,VPTE_OV_HH_2023-02-18T18:21:48.400000Z
[],2023-02-18 09:53:04.780000,VPTE_OV_HH_2023-02-18T09:52:55.760000Z
[],2023-02-18 00:39:31.240000,VPTE_OV_HH_2023-02-18T00:39:14.040000Z
[],2023-02-18 02:22:39.480000,VPTE_OV_HH_2023-02-18T02:22:08.040000Z
[],2023-02-18 09:02:07.990000,VPTE_OV_HH_2023-02-18T09:01:50.040000Z
[],2023-02-18 11:19:58.880000,VPTE_OV_HH_2023-02-18T11:19:44.040000Z
[],2023-02-18 12:32:40.320000,VPTE_OV_HH_2023-02-18T12:31:50.040000Z
[],2023-02-18 16:13:15.670000,VPTE_OV_HH_2023-02-18T16:13:02.040000Z
[],2023-02-18 16:49:51.660000,VPTE_OV_HH_2023-02-18T16:49:26.040000Z
