Fecha1,Coincidencia2,mseed
2023-02-18 00:34:22.628391,2023-02-18 00:34:22.678391,CPMI_OV_HH_2023-02-18T00:34:18.508391Z
2023-02-18 01:07:56.538391,2023-02-18 01:07:56.508391,CPMI_OV_HH_2023-02-18T01:07:12.508391Z
2023-02-18 01:30:22.708391,2023-02-18 01:30:22.738391,CPMI_OV_HH_2023-02-18T01:30:18.508391Z
2023-02-18 03:46:52.668391,2023-02-18 03:46:52.648391,CPMI_OV_HH_2023-02-18T03:46:48.508391Z
2023-02-18 04:39:29.788391,2023-02-18 04:39:29.778391,CPMI_OV_HH_2023-02-18T04:39:18.508391Z
2023-02-18 04:54:04.618391,2023-02-18 04:54:04.658391,CPMI_OV_HH_2023-02-18T04:54:00.508391Z
2023-02-18 05:45:13.588391,2023-02-18 05:45:13.588391,CPMI_OV_HH_2023-02-18T05:45:06.508391Z
2023-02-18 05:57:13.908391,2023-02-18 05:57:13.908391,CPMI_OV_HH_2023-02-18T05:57:00.508391Z
2023-02-18 06:04:04.708391,2023-02-18 06:04:04.728391,CPMI_OV_HH_2023-02-18T06:04:00.508391Z
2023-02-18 08:18:28.628391,2023-02-18 08:18:28.628391,CPMI_OV_HH_2023-02-18T08:18:24.508391Z
2023-02-18 08:24:17.468391,2023-02-18 08:24:17.468391,CPMI_OV_HH_2023-02-18T08:24:00.508391Z
2023-02-18 08:27:38.588391,2023-02-18 08:27:38.588391,CPMI_OV_HH_2023-02-18T08:27:30.508391Z
2023-02-18 08:29:11.898391,2023-02-18 08:29:11.898391,CPMI_OV_HH_2023-02-18T08:28:54.508391Z
2023-02-18 08:31:58.668391,2023-02-18 08:31:58.668391,CPMI_OV_HH_2023-02-18T08:31:42.508391Z
2023-02-18 08:39:29.548391,2023-02-18 08:39:29.548391,CPMI_OV_HH_2023-02-18T08:39:24.508391Z
2023-02-18 08:57:17.308391,2023-02-18 08:57:17.408391,CPMI_OV_HH_2023-02-18T08:56:54.508391Z
2023-02-18 10:20:22.228391,[],CPMI_OV_HH_2023-02-18T10:20:12.508391Z
2023-02-18 11:19:55.708391,2023-02-18 11:19:55.708391,CPMI_OV_HH_2023-02-18T11:19:42.508391Z
2023-02-18 11:46:22.748391,2023-02-18 11:46:22.768391,CPMI_OV_HH_2023-02-18T11:46:18.508391Z
2023-02-18 11:53:22.738391,2023-02-18 11:53:22.738391,CPMI_OV_HH_2023-02-18T11:53:18.508391Z
2023-02-18 12:23:31.668391,2023-02-18 12:23:31.668391,CPMI_OV_HH_2023-02-18T12:23:24.508391Z
2023-02-18 12:58:31.668391,2023-02-18 12:58:31.668391,CPMI_OV_HH_2023-02-18T12:58:24.508391Z
2023-02-18 13:08:16.708391,2023-02-18 13:08:16.668391,CPMI_OV_HH_2023-02-18T13:08:12.508391Z
2023-02-18 14:44:10.708391,2023-02-18 14:44:10.668391,CPMI_OV_HH_2023-02-18T14:44:06.508391Z
2023-02-18 15:42:19.758391,2023-02-18 15:42:19.768391,CPMI_OV_HH_2023-02-18T15:42:12.508391Z
2023-02-18 15:43:49.968391,2023-02-18 15:43:49.998391,CPMI_OV_HH_2023-02-18T15:43:36.508391Z
2023-02-18 16:13:09.648391,[],CPMI_OV_HH_2023-02-18T16:13:00.508391Z
2023-02-18 19:02:49.738391,2023-02-18 19:02:49.728391,CPMI_OV_HH_2023-02-18T19:02:24.508391Z
2023-02-18 19:04:04.018391,2023-02-18 19:04:04.028391,CPMI_OV_HH_2023-02-18T19:03:48.508391Z
2023-02-18 19:10:10.668391,2023-02-18 19:10:10.658391,CPMI_OV_HH_2023-02-18T19:10:06.508391Z
