Fecha1,Coincidencia2,mseed
2023-02-18 00:28:04.728393,2023-02-18 00:28:04.758393,RIFO_OV_HH_2023-02-18T00:28:00.598393Z
2023-02-18 00:53:25.948393,2023-02-18 00:53:25.918393,RIFO_OV_HH_2023-02-18T00:53:12.598393Z
2023-02-18 01:05:53.748393,2023-02-18 01:05:53.758393,RIFO_OV_HH_2023-02-18T01:05:48.598393Z
2023-02-18 03:47:13.728393,2023-02-18 03:47:13.718393,RIFO_OV_HH_2023-02-18T03:46:48.598393Z
2023-02-18 04:28:37.918393,2023-02-18 04:28:37.918393,RIFO_OV_HH_2023-02-18T04:28:06.598393Z
2023-02-18 04:50:48.008393,2023-02-18 04:50:48.118393,RIFO_OV_HH_2023-02-18T04:50:30.598393Z
2023-02-18 05:33:26.158393,2023-02-18 05:33:26.158393,RIFO_OV_HH_2023-02-18T05:33:12.598393Z
2023-02-18 08:31:58.638393,2023-02-18 08:31:58.678393,RIFO_OV_HH_2023-02-18T08:31:42.598393Z
2023-02-18 08:34:02.558393,2023-02-18 08:34:02.598393,RIFO_OV_HH_2023-02-18T08:33:06.598393Z
2023-02-18 08:36:50.158393,2023-02-18 08:36:50.158393,RIFO_OV_HH_2023-02-18T08:36:36.598393Z
2023-02-18 08:39:29.598393,2023-02-18 08:39:29.598393,RIFO_OV_HH_2023-02-18T08:39:24.598393Z
2023-02-18 08:40:37.828393,2023-02-18 08:40:37.798393,RIFO_OV_HH_2023-02-18T08:40:06.598393Z
2023-02-18 08:44:22.638393,2023-02-18 08:44:22.678393,RIFO_OV_HH_2023-02-18T08:44:18.598393Z
2023-02-18 08:45:48.638393,2023-02-18 08:45:48.638393,RIFO_OV_HH_2023-02-18T08:45:42.598393Z
2023-02-18 09:04:15.718393,2023-02-18 09:04:15.718393,RIFO_OV_HH_2023-02-18T09:03:54.598393Z
2023-02-18 09:15:52.638393,2023-02-18 09:15:52.678393,RIFO_OV_HH_2023-02-18T09:15:48.598393Z
2023-02-18 09:27:09.878393,2023-02-18 09:27:09.878393,RIFO_OV_HH_2023-02-18T09:27:00.598393Z
2023-02-18 09:36:25.678393,2023-02-18 09:36:25.678393,RIFO_OV_HH_2023-02-18T09:36:06.598393Z
2023-02-18 09:48:17.758393,2023-02-18 09:48:17.758393,RIFO_OV_HH_2023-02-18T09:48:00.598393Z
2023-02-18 10:24:37.918393,2023-02-18 10:24:37.898393,RIFO_OV_HH_2023-02-18T10:24:24.598393Z
2023-02-18 10:31:01.798393,2023-02-18 10:31:01.708393,RIFO_OV_HH_2023-02-18T10:30:42.598393Z
2023-02-18 10:42:58.718393,2023-02-18 10:42:58.718393,RIFO_OV_HH_2023-02-18T10:42:36.598393Z
2023-02-18 10:56:47.998393,2023-02-18 10:56:47.988393,RIFO_OV_HH_2023-02-18T10:56:36.598393Z
2023-02-18 11:00:10.678393,2023-02-18 11:00:10.678393,RIFO_OV_HH_2023-02-18T11:00:06.598393Z
2023-02-18 11:05:28.758393,2023-02-18 11:05:28.668393,RIFO_OV_HH_2023-02-18T11:05:00.598393Z
2023-02-18 11:34:31.678393,2023-02-18 11:34:31.718393,RIFO_OV_HH_2023-02-18T11:33:42.598393Z
2023-02-18 12:24:20.278393,2023-02-18 12:24:20.278393,RIFO_OV_HH_2023-02-18T12:24:06.598393Z
2023-02-18 12:59:23.598393,2023-02-18 12:59:23.598393,RIFO_OV_HH_2023-02-18T12:59:06.598393Z
2023-02-18 13:16:40.608393,2023-02-18 13:16:40.608393,RIFO_OV_HH_2023-02-18T13:16:36.598393Z
2023-02-18 13:29:16.798393,2023-02-18 13:29:16.798393,RIFO_OV_HH_2023-02-18T13:29:12.598393Z
2023-02-18 13:47:28.638393,2023-02-18 13:47:28.638393,RIFO_OV_HH_2023-02-18T13:47:24.598393Z
2023-02-18 13:55:10.838393,[],RIFO_OV_HH_2023-02-18T13:55:06.598393Z
2023-02-18 13:56:35.638393,[],RIFO_OV_HH_2023-02-18T13:56:30.598393Z
2023-02-18 14:12:55.718393,2023-02-18 14:12:55.718393,RIFO_OV_HH_2023-02-18T14:12:36.598393Z
2023-02-18 14:29:31.758393,[],RIFO_OV_HH_2023-02-18T14:29:24.598393Z
2023-02-18 15:45:07.678393,2023-02-18 15:45:07.678393,RIFO_OV_HH_2023-02-18T15:45:00.598393Z
2023-02-18 16:22:52.968393,2023-02-18 16:22:52.778393,RIFO_OV_HH_2023-02-18T16:22:48.598393Z
2023-02-18 16:29:53.728393,2023-02-18 16:29:53.738393,RIFO_OV_HH_2023-02-18T16:29:48.598393Z
2023-02-18 16:42:03.638393,2023-02-18 16:42:03.668393,RIFO_OV_HH_2023-02-18T16:41:42.598393Z
2023-02-18 17:11:20.078393,2023-02-18 17:11:20.088393,RIFO_OV_HH_2023-02-18T17:11:06.598393Z
2023-02-18 17:36:32.438393,2023-02-18 17:36:32.578393,RIFO_OV_HH_2023-02-18T17:36:18.598393Z
2023-02-18 17:57:35.608393,2023-02-18 17:57:35.638393,RIFO_OV_HH_2023-02-18T17:57:18.598393Z
2023-02-18 18:07:15.758393,2023-02-18 18:07:15.758393,RIFO_OV_HH_2023-02-18T18:07:06.598393Z
2023-02-18 18:36:34.828393,2023-02-18 18:36:34.758393,RIFO_OV_HH_2023-02-18T18:36:30.598393Z
2023-02-18 20:18:04.998393,[],RIFO_OV_HH_2023-02-18T20:18:00.598393Z
2023-02-18 20:52:43.638393,2023-02-18 20:52:43.678393,RIFO_OV_HH_2023-02-18T20:52:18.598393Z
2023-02-18 20:55:57.878393,2023-02-18 20:55:57.878393,RIFO_OV_HH_2023-02-18T20:55:48.598393Z
2023-02-18 21:12:07.598393,2023-02-18 21:12:07.588393,RIFO_OV_HH_2023-02-18T21:11:54.598393Z
2023-02-18 21:23:57.728393,2023-02-18 21:23:57.728393,RIFO_OV_HH_2023-02-18T21:23:48.598393Z
