Fecha1,Coincidencia2,mseed
2023-02-18 00:33:41.708393,[],VPLC_OV_HH_2023-02-18T00:33:36.568393Z
2023-02-18 00:40:19.768393,2023-02-18 00:40:19.808393,VPLC_OV_HH_2023-02-18T00:39:54.568393Z
2023-02-18 01:36:13.658393,2023-02-18 01:36:13.658393,VPLC_OV_HH_2023-02-18T01:35:54.568393Z
2023-02-18 02:43:12.718393,2023-02-18 02:43:12.698393,VPLC_OV_HH_2023-02-18T02:43:06.568393Z
2023-02-18 03:07:10.218393,2023-02-18 03:07:10.238393,VPLC_OV_HH_2023-02-18T03:06:54.568393Z
2023-02-18 03:08:25.788393,2023-02-18 03:08:25.768393,VPLC_OV_HH_2023-02-18T03:08:18.568393Z
2023-02-18 03:27:16.648393,2023-02-18 03:27:16.648393,VPLC_OV_HH_2023-02-18T03:27:12.568393Z
2023-02-18 04:22:34.688393,2023-02-18 04:22:34.728393,VPLC_OV_HH_2023-02-18T04:22:30.568393Z
2023-02-18 04:25:26.648393,2023-02-18 04:25:26.648393,VPLC_OV_HH_2023-02-18T04:25:18.568393Z
2023-02-18 04:26:06.698393,2023-02-18 04:26:06.698393,VPLC_OV_HH_2023-02-18T04:26:00.568393Z
2023-02-18 05:13:03.728393,2023-02-18 05:13:03.698393,VPLC_OV_HH_2023-02-18T05:12:54.568393Z
2023-02-18 05:20:56.628393,2023-02-18 05:20:56.608393,VPLC_OV_HH_2023-02-18T05:20:36.568393Z
2023-02-18 05:34:01.688393,2023-02-18 05:34:01.688393,VPLC_OV_HH_2023-02-18T05:33:54.568393Z
2023-02-18 05:46:26.808393,2023-02-18 05:46:26.828393,VPLC_OV_HH_2023-02-18T05:45:48.568393Z
2023-02-18 05:56:26.798393,2023-02-18 05:56:26.768393,VPLC_OV_HH_2023-02-18T05:56:18.568393Z
2023-02-18 06:02:42.688393,2023-02-18 06:02:42.688393,VPLC_OV_HH_2023-02-18T06:02:36.568393Z
2023-02-18 06:35:38.648393,2023-02-18 06:35:38.648393,VPLC_OV_HH_2023-02-18T06:35:30.568393Z
2023-02-18 07:07:21.768393,2023-02-18 07:07:21.798393,VPLC_OV_HH_2023-02-18T07:07:00.568393Z
2023-02-18 07:10:51.678393,2023-02-18 07:10:51.648393,VPLC_OV_HH_2023-02-18T07:10:30.568393Z
2023-02-18 07:29:08.078393,2023-02-18 07:29:08.068393,VPLC_OV_HH_2023-02-18T07:28:42.568393Z
2023-02-18 08:06:13.608393,2023-02-18 08:06:13.638393,VPLC_OV_HH_2023-02-18T08:05:48.568393Z
2023-02-18 08:27:10.758393,2023-02-18 08:27:10.768393,VPLC_OV_HH_2023-02-18T08:26:48.568393Z
2023-02-18 08:27:35.588393,2023-02-18 08:27:35.588393,VPLC_OV_HH_2023-02-18T08:27:30.568393Z
2023-02-18 08:39:26.928393,2023-02-18 08:39:26.928393,VPLC_OV_HH_2023-02-18T08:38:42.568393Z
2023-02-18 08:47:15.648393,2023-02-18 08:47:15.668393,VPLC_OV_HH_2023-02-18T08:47:06.568393Z
2023-02-18 09:00:32.588393,2023-02-18 09:00:32.578393,VPLC_OV_HH_2023-02-18T09:00:24.568393Z
2023-02-18 09:31:20.568393,2023-02-18 09:31:20.568393,VPLC_OV_HH_2023-02-18T09:31:12.568393Z
2023-02-18 09:48:15.768393,2023-02-18 09:48:15.768393,VPLC_OV_HH_2023-02-18T09:48:00.568393Z
2023-02-18 10:17:01.788393,[],VPLC_OV_HH_2023-02-18T10:16:42.568393Z
2023-02-18 10:23:04.768393,2023-02-18 10:23:04.768393,VPLC_OV_HH_2023-02-18T10:23:00.568393Z
2023-02-18 10:24:41.688393,2023-02-18 10:24:41.688393,VPLC_OV_HH_2023-02-18T10:24:24.568393Z
2023-02-18 10:31:50.668393,2023-02-18 10:31:50.688393,VPLC_OV_HH_2023-02-18T10:31:24.568393Z
2023-02-18 10:49:11.678393,2023-02-18 10:49:11.678393,VPLC_OV_HH_2023-02-18T10:48:54.568393Z
2023-02-18 12:23:33.798393,[],VPLC_OV_HH_2023-02-18T12:23:24.568393Z
2023-02-18 12:24:53.728393,2023-02-18 12:24:53.728393,VPLC_OV_HH_2023-02-18T12:24:48.568393Z
2023-02-18 13:30:07.648393,2023-02-18 13:30:07.648393,VPLC_OV_HH_2023-02-18T13:29:54.568393Z
2023-02-18 14:22:30.648393,2023-02-18 14:22:30.648393,VPLC_OV_HH_2023-02-18T14:22:24.568393Z
2023-02-18 14:36:30.728393,2023-02-18 14:36:30.728393,VPLC_OV_HH_2023-02-18T14:36:24.568393Z
2023-02-18 14:39:58.768393,2023-02-18 14:39:58.778393,VPLC_OV_HH_2023-02-18T14:39:54.568393Z
2023-02-18 15:54:23.928393,2023-02-18 15:54:23.928393,VPLC_OV_HH_2023-02-18T15:54:06.568393Z
2023-02-18 16:06:04.778393,[],VPLC_OV_HH_2023-02-18T16:06:00.568393Z
2023-02-18 17:18:10.608393,2023-02-18 17:18:10.608393,VPLC_OV_HH_2023-02-18T17:18:06.568393Z
2023-02-18 17:37:19.848393,[],VPLC_OV_HH_2023-02-18T17:37:00.568393Z
2023-02-18 18:50:45.958393,2023-02-18 18:50:45.968393,VPLC_OV_HH_2023-02-18T18:50:30.568393Z
2023-02-18 19:35:22.688393,2023-02-18 19:35:22.688393,VPLC_OV_HH_2023-02-18T19:35:18.568393Z
2023-02-18 19:43:04.728393,2023-02-18 19:43:04.718393,VPLC_OV_HH_2023-02-18T19:43:00.568393Z
2023-02-18 19:48:11.868393,[],VPLC_OV_HH_2023-02-18T19:47:54.568393Z
2023-02-18 20:26:23.568393,2023-02-18 20:26:23.568393,VPLC_OV_HH_2023-02-18T20:25:42.568393Z
2023-02-18 21:29:01.608393,2023-02-18 21:29:01.528393,VPLC_OV_HH_2023-02-18T21:28:42.568393Z
2023-02-18 23:48:05.608393,2023-02-18 23:48:05.608393,VPLC_OV_HH_2023-02-18T23:48:00.568393Z
2023-02-18 02:23:35.428393,2023-02-18 02:23:35.418393,VPLC_OV_HH_2023-02-18T02:23:31.288393Z
2023-02-18 02:39:41.448393,2023-02-18 02:39:41.508393,VPLC_OV_HH_2023-02-18T02:39:37.288393Z
2023-02-18 04:28:54.328393,2023-02-18 04:28:54.408393,VPLC_OV_HH_2023-02-18T04:28:49.288393Z
2023-02-18 04:55:29.328393,2023-02-18 04:55:29.328393,VPLC_OV_HH_2023-02-18T04:55:25.288393Z
2023-02-18 05:14:32.898393,2023-02-18 05:14:32.928393,VPLC_OV_HH_2023-02-18T05:14:19.288393Z
2023-02-18 06:30:41.448393,2023-02-18 06:30:41.488393,VPLC_OV_HH_2023-02-18T06:30:37.288393Z
2023-02-18 06:44:41.478393,2023-02-18 06:44:41.448393,VPLC_OV_HH_2023-02-18T06:44:37.288393Z
2023-02-18 07:32:59.518393,2023-02-18 07:32:59.508393,VPLC_OV_HH_2023-02-18T07:32:55.288393Z
2023-02-18 07:54:41.688393,2023-02-18 07:54:41.568393,VPLC_OV_HH_2023-02-18T07:54:37.288393Z
2023-02-18 08:03:05.328393,2023-02-18 08:03:05.328393,VPLC_OV_HH_2023-02-18T08:03:01.288393Z
2023-02-18 08:29:09.128393,2023-02-18 08:29:09.098393,VPLC_OV_HH_2023-02-18T08:28:55.288393Z
