Fecha1,Coincidencia2,mseed
2023-02-18 00:31:34.590000,[],VPTE_OV_HH_2023-02-18T00:31:30.400000Z
2023-02-18 00:41:03.200000,2023-02-18 00:41:03.200000,VPTE_OV_HH_2023-02-18T00:40:36.400000Z
2023-02-18 00:52:34.560000,2023-02-18 00:52:34.550000,VPTE_OV_HH_2023-02-18T00:52:30.400000Z
2023-02-18 00:54:25.560000,2023-02-18 00:54:25.560000,VPTE_OV_HH_2023-02-18T00:53:54.400000Z
2023-02-18 01:00:37.600000,2023-02-18 01:00:37.600000,VPTE_OV_HH_2023-02-18T01:00:12.400000Z
2023-02-18 01:02:07.520000,2023-02-18 01:02:07.520000,VPTE_OV_HH_2023-02-18T01:01:36.400000Z
2023-02-18 03:04:13.600000,2023-02-18 03:04:13.560000,VPTE_OV_HH_2023-02-18T03:04:06.400000Z
2023-02-18 05:07:24.420000,2023-02-18 05:07:24.420000,VPTE_OV_HH_2023-02-18T05:07:18.400000Z
2023-02-18 05:26:59.530000,2023-02-18 05:26:59.540000,VPTE_OV_HH_2023-02-18T05:26:54.400000Z
2023-02-18 05:28:33.640000,2023-02-18 05:28:33.640000,VPTE_OV_HH_2023-02-18T05:28:18.400000Z
2023-02-18 05:29:31.480000,2023-02-18 05:29:31.470000,VPTE_OV_HH_2023-02-18T05:29:00.400000Z
2023-02-18 05:56:47.600000,2023-02-18 05:56:47.640000,VPTE_OV_HH_2023-02-18T05:56:18.400000Z
2023-02-18 06:09:42.560000,2023-02-18 06:09:42.560000,VPTE_OV_HH_2023-02-18T06:09:36.400000Z
2023-02-18 06:37:44.520000,2023-02-18 06:37:44.520000,VPTE_OV_HH_2023-02-18T06:37:36.400000Z
2023-02-18 06:41:11.540000,2023-02-18 06:41:11.540000,VPTE_OV_HH_2023-02-18T06:41:06.400000Z
2023-02-18 08:41:47.700000,2023-02-18 08:41:47.720000,VPTE_OV_HH_2023-02-18T08:41:30.400000Z
2023-02-18 09:26:25.660000,2023-02-18 09:26:25.660000,VPTE_OV_HH_2023-02-18T09:26:18.400000Z
2023-02-18 09:29:10.480000,2023-02-18 09:29:10.480000,VPTE_OV_HH_2023-02-18T09:29:06.400000Z
2023-02-18 09:35:01.880000,2023-02-18 09:35:01.840000,VPTE_OV_HH_2023-02-18T09:34:42.400000Z
2023-02-18 09:39:28.040000,2023-02-18 09:39:28.040000,VPTE_OV_HH_2023-02-18T09:38:54.400000Z
2023-02-18 09:39:43.590000,2023-02-18 09:39:43.630000,VPTE_OV_HH_2023-02-18T09:39:36.400000Z
2023-02-18 09:49:32.520000,2023-02-18 09:49:32.520000,VPTE_OV_HH_2023-02-18T09:49:24.400000Z
2023-02-18 10:00:19.610000,2023-02-18 10:00:19.600000,VPTE_OV_HH_2023-02-18T09:59:54.400000Z
2023-02-18 10:10:32.520000,2023-02-18 10:10:32.520000,VPTE_OV_HH_2023-02-18T10:10:24.400000Z
2023-02-18 10:17:32.480000,2023-02-18 10:17:32.480000,VPTE_OV_HH_2023-02-18T10:17:24.400000Z
2023-02-18 10:21:22.420000,2023-02-18 10:21:22.400000,VPTE_OV_HH_2023-02-18T10:20:54.400000Z
2023-02-18 10:27:25.480000,2023-02-18 10:27:25.490000,VPTE_OV_HH_2023-02-18T10:27:12.400000Z
2023-02-18 10:50:23.560000,2023-02-18 10:50:23.560000,VPTE_OV_HH_2023-02-18T10:50:18.400000Z
2023-02-18 11:01:39.400000,2023-02-18 11:01:39.400000,VPTE_OV_HH_2023-02-18T11:01:30.400000Z
2023-02-18 11:21:52.890000,[],VPTE_OV_HH_2023-02-18T11:21:48.400000Z
2023-02-18 12:36:04.540000,[],VPTE_OV_HH_2023-02-18T12:36:00.400000Z
2023-02-18 12:55:01.560000,[],VPTE_OV_HH_2023-02-18T12:54:54.400000Z
2023-02-18 13:03:22.540000,2023-02-18 13:03:22.540000,VPTE_OV_HH_2023-02-18T13:03:18.400000Z
2023-02-18 13:49:01.480000,2023-02-18 13:49:01.480000,VPTE_OV_HH_2023-02-18T13:48:48.400000Z
2023-02-18 13:57:29.800000,2023-02-18 13:57:29.790000,VPTE_OV_HH_2023-02-18T13:57:12.400000Z
2023-02-18 14:51:10.520000,2023-02-18 14:51:10.520000,VPTE_OV_HH_2023-02-18T14:51:06.400000Z
2023-02-18 16:13:07.520000,2023-02-18 16:13:07.520000,VPTE_OV_HH_2023-02-18T16:13:00.400000Z
2023-02-18 16:15:53.520000,2023-02-18 16:15:53.520000,VPTE_OV_HH_2023-02-18T16:15:48.400000Z
2023-02-18 16:30:34.720000,2023-02-18 16:30:34.660000,VPTE_OV_HH_2023-02-18T16:30:30.400000Z
2023-02-18 16:44:39.660000,2023-02-18 16:44:39.680000,VPTE_OV_HH_2023-02-18T16:44:30.400000Z
2023-02-18 16:58:11.730000,2023-02-18 16:58:11.730000,VPTE_OV_HH_2023-02-18T16:57:48.400000Z
2023-02-18 17:11:11.440000,2023-02-18 17:11:11.440000,VPTE_OV_HH_2023-02-18T17:11:06.400000Z
2023-02-18 17:25:21.920000,2023-02-18 17:25:21.920000,VPTE_OV_HH_2023-02-18T17:25:06.400000Z
2023-02-18 18:19:51.650000,2023-02-18 18:19:51.650000,VPTE_OV_HH_2023-02-18T18:19:42.400000Z
2023-02-18 18:21:53.430000,2023-02-18 18:21:53.430000,VPTE_OV_HH_2023-02-18T18:21:48.400000Z
2023-02-18 18:35:25.520000,2023-02-18 18:35:25.520000,VPTE_OV_HH_2023-02-18T18:35:06.400000Z
2023-02-18 20:45:35.580000,[],VPTE_OV_HH_2023-02-18T20:45:18.400000Z
2023-02-18 20:58:09.490000,2023-02-18 20:58:09.510000,VPTE_OV_HH_2023-02-18T20:57:54.400000Z
2023-02-18 21:45:36.520000,[],VPTE_OV_HH_2023-02-18T21:45:30.400000Z
2023-02-18 22:53:32.520000,2023-02-18 22:53:32.520000,VPTE_OV_HH_2023-02-18T22:53:24.400000Z
2023-02-18 23:29:11.520000,2023-02-18 23:29:11.510000,VPTE_OV_HH_2023-02-18T23:29:06.400000Z
2023-02-18 01:16:26.800000,[],VPTE_OV_HH_2023-02-18T01:16:19.760000Z
2023-02-18 02:00:01,2023-02-18 02:00:01,VPTE_OV_HH_2023-02-18T01:59:43.760000Z
2023-02-18 02:21:06.160000,2023-02-18 02:21:06.150000,VPTE_OV_HH_2023-02-18T02:20:43.760000Z
2023-02-18 02:25:41.780000,2023-02-18 02:25:41.780000,VPTE_OV_HH_2023-02-18T02:25:37.760000Z
2023-02-18 05:51:29.840000,2023-02-18 05:51:29.840000,VPTE_OV_HH_2023-02-18T05:51:25.760000Z
2023-02-18 06:46:08.840000,2023-02-18 06:46:08.840000,VPTE_OV_HH_2023-02-18T06:45:19.760000Z
2023-02-18 08:27:35.760000,2023-02-18 08:27:35.760000,VPTE_OV_HH_2023-02-18T08:27:31.760000Z
2023-02-18 08:30:18.480000,2023-02-18 08:30:18.480000,VPTE_OV_HH_2023-02-18T08:29:37.760000Z
2023-02-18 08:34:40.910000,2023-02-18 08:34:40.880000,VPTE_OV_HH_2023-02-18T08:34:31.760000Z
2023-02-18 08:38:41.320000,2023-02-18 08:38:41.320000,VPTE_OV_HH_2023-02-18T08:38:01.760000Z
2023-02-18 08:40:35.240000,2023-02-18 08:40:35.240000,VPTE_OV_HH_2023-02-18T08:40:07.760000Z
2023-02-18 08:46:42.920000,2023-02-18 08:46:42.960000,VPTE_OV_HH_2023-02-18T08:46:25.760000Z
2023-02-18 08:47:15.010000,2023-02-18 08:47:15.040000,VPTE_OV_HH_2023-02-18T08:46:25.760000Z
2023-02-18 08:47:53.880000,[],VPTE_OV_HH_2023-02-18T08:47:49.760000Z
2023-02-18 09:02:07.880000,2023-02-18 09:02:07.880000,VPTE_OV_HH_2023-02-18T09:01:49.760000Z
2023-02-18 09:17:10.040000,[],VPTE_OV_HH_2023-02-18T09:16:31.760000Z
2023-02-18 09:21:32.720000,2023-02-18 09:21:32.750000,VPTE_OV_HH_2023-02-18T09:21:25.760000Z
2023-02-18 09:53:04.780000,2023-02-18 09:53:04.780000,VPTE_OV_HH_2023-02-18T09:52:55.760000Z
2023-02-18 09:54:24.790000,2023-02-18 09:54:24.790000,VPTE_OV_HH_2023-02-18T09:54:19.760000Z
2023-02-18 10:06:10.440000,2023-02-18 10:06:10.450000,VPTE_OV_HH_2023-02-18T10:05:31.760000Z
2023-02-18 10:30:58.960000,2023-02-18 10:30:58.960000,VPTE_OV_HH_2023-02-18T10:30:01.760000Z
2023-02-18 11:19:59,2023-02-18 11:19:59,VPTE_OV_HH_2023-02-18T11:19:01.760000Z
2023-02-18 11:34:29.320000,2023-02-18 11:34:29.320000,VPTE_OV_HH_2023-02-18T11:33:43.760000Z
2023-02-18 11:34:50.690000,2023-02-18 11:34:50.700000,VPTE_OV_HH_2023-02-18T11:34:25.760000Z
2023-02-18 12:08:49.960000,2023-02-18 12:08:49.920000,VPTE_OV_HH_2023-02-18T12:08:43.760000Z
2023-02-18 12:22:14.810000,2023-02-18 12:22:14.810000,VPTE_OV_HH_2023-02-18T12:21:19.760000Z
2023-02-18 12:23:33.240000,2023-02-18 12:23:33.240000,VPTE_OV_HH_2023-02-18T12:22:43.760000Z
2023-02-18 12:24:16.640000,2023-02-18 12:24:16.640000,VPTE_OV_HH_2023-02-18T12:23:25.760000Z
2023-02-18 12:31:45.880000,2023-02-18 12:31:45.880000,VPTE_OV_HH_2023-02-18T12:31:07.760000Z
2023-02-18 12:32:40.760000,2023-02-18 12:32:40.760000,VPTE_OV_HH_2023-02-18T12:32:31.760000Z
2023-02-18 12:38:25.990000,2023-02-18 12:38:26,VPTE_OV_HH_2023-02-18T12:38:07.760000Z
2023-02-18 12:47:17.900000,2023-02-18 12:47:17.920000,VPTE_OV_HH_2023-02-18T12:47:13.760000Z
2023-02-18 13:00:46.720000,2023-02-18 13:00:46.720000,VPTE_OV_HH_2023-02-18T12:59:49.760000Z
2023-02-18 13:41:24.010000,2023-02-18 13:41:24,VPTE_OV_HH_2023-02-18T13:41:07.760000Z
2023-02-18 14:42:15.700000,[],VPTE_OV_HH_2023-02-18T14:41:19.760000Z
2023-02-18 15:45:05.120000,2023-02-18 15:45:05.120000,VPTE_OV_HH_2023-02-18T15:44:19.760000Z
2023-02-18 15:56:39.600000,2023-02-18 15:56:39.600000,VPTE_OV_HH_2023-02-18T15:56:13.760000Z
2023-02-18 16:51:14.920000,2023-02-18 16:51:14.920000,VPTE_OV_HH_2023-02-18T16:50:49.760000Z
2023-02-18 18:42:11.870000,2023-02-18 18:42:11.840000,VPTE_OV_HH_2023-02-18T18:42:07.760000Z
2023-02-18 00:39:31.250000,2023-02-18 00:39:31.240000,VPTE_OV_HH_2023-02-18T00:39:14.040000Z
2023-02-18 03:43:24.160000,2023-02-18 03:43:24.120000,VPTE_OV_HH_2023-02-18T03:43:20.040000Z
2023-02-18 08:31:19.200000,2023-02-18 08:31:19.160000,VPTE_OV_HH_2023-02-18T08:31:02.040000Z
2023-02-18 09:06:15.480000,2023-02-18 09:06:15.480000,VPTE_OV_HH_2023-02-18T09:06:02.040000Z
2023-02-18 09:56:15.910000,2023-02-18 09:56:15.920000,VPTE_OV_HH_2023-02-18T09:55:44.040000Z
2023-02-18 10:25:50.010000,2023-02-18 10:25:49.920000,VPTE_OV_HH_2023-02-18T10:25:08.040000Z
2023-02-18 13:13:43.160000,2023-02-18 13:13:43.080000,VPTE_OV_HH_2023-02-18T13:13:08.040000Z
2023-02-18 13:30:00.230000,[],VPTE_OV_HH_2023-02-18T13:29:56.040000Z
2023-02-18 13:37:43.760000,2023-02-18 13:37:43.760000,VPTE_OV_HH_2023-02-18T13:36:56.040000Z
