Fecha1,Coincidencia2,mseed
2023-02-18 00:34:22.548391,2023-02-18 00:34:22.728391,CPMI/OV.CPMI..HHN__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 00:35:23.628391,[],CPMI/OV.CPMI..HHN__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 00:50:58.548391,[],CPMI/OV.CPMI..HHN__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 00:58:52.658391,[],CPMI/OV.CPMI..HHN__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 00:59:55.918391,[],CPMI/OV.CPMI..HHN__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 01:07:56.598391,2023-02-18 01:07:56.618391,CPMI/OV.CPMI..HHN__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 01:17:58.548391,[],CPMI/OV.CPMI..HHN__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 01:24:10.628391,[],CPMI/OV.CPMI..HHN__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 01:30:16.548391,2023-02-18 01:30:22.628391,CPMI/OV.CPMI..HHN__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 01:30:22.628391,[],CPMI/OV.CPMI..HHN__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 01:46:34.538391,2023-02-18 01:46:34.638391,CPMI/OV.CPMI..HHN__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 02:00:22.928391,[],CPMI/OV.CPMI..HHN__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 02:31:52.548391,2023-02-18 02:31:52.548391,CPMI/OV.CPMI..HHN__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 02:33:53.588391,2023-02-18 02:33:53.628391,CPMI/OV.CPMI..HHN__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 03:04:07.588391,[],CPMI/OV.CPMI..HHN__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 03:31:28.838391,[],CPMI/OV.CPMI..HHN__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 04:10:16.628391,2023-02-18 04:10:16.628391,CPMI/OV.CPMI..HHN__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 04:39:30.038391,2023-02-18 04:39:29.788391,CPMI/OV.CPMI..HHN__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 04:45:56.578391,[],CPMI/OV.CPMI..HHN__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 04:54:04.668391,[],CPMI/OV.CPMI..HHN__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 05:13:46.658391,[],CPMI/OV.CPMI..HHN__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 05:45:13.828391,2023-02-18 05:45:13.808391,CPMI/OV.CPMI..HHN__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 05:49:33.548391,[],CPMI/OV.CPMI..HHN__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 05:55:29.528391,2023-02-18 05:55:29.558391,CPMI/OV.CPMI..HHN__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 05:57:14.048391,2023-02-18 05:57:13.908391,CPMI/OV.CPMI..HHN__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 06:01:34.668391,2023-02-18 06:01:34.588391,CPMI/OV.CPMI..HHN__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 06:04:04.638391,2023-02-18 06:04:04.688391,CPMI/OV.CPMI..HHN__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 06:12:13.808391,2023-02-18 06:12:13.548391,CPMI/OV.CPMI..HHN__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 06:29:03.268391,2023-02-18 06:29:03.248391,CPMI/OV.CPMI..HHN__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 06:29:33.868391,[],CPMI/OV.CPMI..HHN__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 06:45:28.548391,2023-02-18 06:45:28.588391,CPMI/OV.CPMI..HHN__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 06:51:52.618391,2023-02-18 06:51:52.588391,CPMI/OV.CPMI..HHN__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 07:13:04.708391,[],CPMI/OV.CPMI..HHN__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 07:25:55.948391,[],CPMI/OV.CPMI..HHN__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 07:34:00.588391,2023-02-18 07:34:00.548391,CPMI/OV.CPMI..HHN__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 07:34:57.598391,[],CPMI/OV.CPMI..HHN__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 07:36:35.668391,[],CPMI/OV.CPMI..HHN__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 08:05:46.648391,2023-02-18 08:05:46.578391,CPMI/OV.CPMI..HHN__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 08:18:28.628391,2023-02-18 08:18:28.658391,CPMI/OV.CPMI..HHN__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 08:19:02.068391,2023-02-18 08:19:01.978391,CPMI/OV.CPMI..HHN__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 08:24:17.468391,2023-02-18 08:24:17.508391,CPMI/OV.CPMI..HHN__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 08:27:38.618391,2023-02-18 08:27:38.588391,CPMI/OV.CPMI..HHN__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 08:29:11.818391,2023-02-18 08:29:11.988391,CPMI/OV.CPMI..HHN__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 08:30:53.928391,2023-02-18 08:30:53.928391,CPMI/OV.CPMI..HHN__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 08:31:58.708391,2023-02-18 08:31:58.708391,CPMI/OV.CPMI..HHN__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 08:32:50.218391,2023-02-18 08:32:50.768391,CPMI/OV.CPMI..HHN__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 08:39:29.708391,2023-02-18 08:39:29.748391,CPMI/OV.CPMI..HHN__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 08:46:45.738391,2023-02-18 08:46:45.658391,CPMI/OV.CPMI..HHN__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 08:53:46.668391,[],CPMI/OV.CPMI..HHN__20230218T000000Z__20230219T000001Z.mseed
