Fecha1,Coincidencia2,mseed
2023-02-18 00:01:53.090000,[],HDC3/OV.HDC3..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 00:36:03.600000,[],HDC3/OV.HDC3..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 00:39:05.090000,[],HDC3/OV.HDC3..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 00:40:06.560000,[],HDC3/OV.HDC3..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 01:02:14.050000,2023-02-18 01:02:14.050000,HDC3/OV.HDC3..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 01:08:21,2023-02-18 01:08:20.810000,HDC3/OV.HDC3..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 01:21:41.130000,2023-02-18 01:21:41.160000,HDC3/OV.HDC3..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 01:24:16.050000,2023-02-18 01:24:16.170000,HDC3/OV.HDC3..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 01:24:35.130000,2023-02-18 01:24:35.110000,HDC3/OV.HDC3..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 01:25:30.160000,[],HDC3/OV.HDC3..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 01:35:30.400000,2023-02-18 01:35:30.250000,HDC3/OV.HDC3..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 01:35:48.240000,[],HDC3/OV.HDC3..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 01:37:02.310000,[],HDC3/OV.HDC3..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 01:39:45.090000,[],HDC3/OV.HDC3..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 01:43:05.300000,[],HDC3/OV.HDC3..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 01:46:48.950000,2023-02-18 01:46:48.760000,HDC3/OV.HDC3..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 01:54:17.200000,[],HDC3/OV.HDC3..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 01:55:20.290000,[],HDC3/OV.HDC3..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 02:09:28.110000,2023-02-18 02:09:28.330000,HDC3/OV.HDC3..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 02:14:50.130000,[],HDC3/OV.HDC3..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 02:15:38.570000,[],HDC3/OV.HDC3..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 02:17:40.490000,2023-02-18 02:17:40.520000,HDC3/OV.HDC3..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 02:22:47.110000,[],HDC3/OV.HDC3..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 02:26:26.530000,[],HDC3/OV.HDC3..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 02:27:02.430000,2023-02-18 02:27:02.170000,HDC3/OV.HDC3..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 02:31:05.110000,2023-02-18 02:31:05.370000,HDC3/OV.HDC3..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 02:31:45.210000,2023-02-18 02:31:45.090000,HDC3/OV.HDC3..HHZ__20230218T000000Z__20230219T000001Z.mseed
