Fecha1,Coincidencia2,mseed
2023-02-18 00:04:39.968393,[],RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 00:05:22.708393,[],RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 00:21:47.608393,[],RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 00:28:04.758393,2023-02-18 00:28:04.678393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 00:28:40.668393,2023-02-18 00:28:40.678393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 00:33:16.678393,2023-02-18 00:33:16.638393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 00:36:44.018393,2023-02-18 00:36:43.838393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 00:37:55.428393,2023-02-18 00:37:55.508393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 00:39:08.268393,2023-02-18 00:39:08.348393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 00:39:28.798393,[],RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 00:41:34.798393,[],RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 00:50:22.768393,2023-02-18 00:50:22.718393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 00:53:25.878393,2023-02-18 00:53:25.918393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 01:04:26.638393,2023-02-18 01:04:26.638393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 01:05:25.918393,2023-02-18 01:05:25.838393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 01:05:53.878393,2023-02-18 01:05:53.838393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 01:18:16.638393,2023-02-18 01:18:16.718393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 01:30:01.868393,2023-02-18 01:30:02.028393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 01:44:17.838393,2023-02-18 01:44:17.758393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 02:00:23.108393,2023-02-18 02:00:22.758393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 02:04:26.608393,[],RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 02:05:52.718393,[],RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 02:11:56.358393,2023-02-18 02:11:56.428393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 02:12:27.518393,2023-02-18 02:12:27.518393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 02:37:13.788393,2023-02-18 02:37:14.128393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 02:41:37.718393,2023-02-18 02:41:37.718393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 02:47:41.848393,2023-02-18 02:47:42.378393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 02:48:04.748393,2023-02-18 02:48:04.808393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 02:50:13.958393,2023-02-18 02:50:13.998393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 02:52:27.718393,[],RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 02:55:08.278393,[],RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 03:08:52.758393,2023-02-18 03:08:52.758393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 03:13:10.758393,2023-02-18 03:13:10.818393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 03:15:07.848393,2023-02-18 03:15:07.838393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 03:34:11.758393,2023-02-18 03:34:11.798393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 03:37:32.238393,[],RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 03:45:04.638393,2023-02-18 03:45:04.638393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 03:46:41.958393,2023-02-18 03:46:42.038393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 03:46:46.758393,[],RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 03:47:13.848393,2023-02-18 03:47:13.758393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 03:50:48.268393,2023-02-18 03:50:48.238393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 04:03:44.428393,2023-02-18 04:03:44.378393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 04:07:07.638393,2023-02-18 04:07:07.668393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 04:13:04.818393,[],RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 04:17:22.818393,[],RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 04:20:52.728393,2023-02-18 04:20:52.628393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 04:27:29.988393,[],RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 04:28:02.758393,2023-02-18 04:28:02.798393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 04:28:28.638393,2023-02-18 04:28:28.728393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 04:28:37.758393,2023-02-18 04:28:37.748393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 04:35:07.628393,2023-02-18 04:35:07.828393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 04:55:22.748393,2023-02-18 04:55:22.758393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 04:56:32.118393,2023-02-18 04:56:32.158393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 04:59:47.788393,2023-02-18 04:59:47.638393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 05:20:42.608393,[],RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 05:28:57.758393,2023-02-18 05:28:57.938393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 05:33:26.188393,2023-02-18 05:33:26.038393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 05:33:51.958393,2023-02-18 05:33:51.918393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 05:35:46.798393,[],RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 05:48:38.088393,2023-02-18 05:48:38.128393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 06:12:01.958393,[],RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 06:26:25.548393,[],RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 06:40:55.678393,2023-02-18 06:40:55.608393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 06:41:44.638393,2023-02-18 06:41:44.638393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 06:57:08.118393,2023-02-18 06:57:08.038393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 07:06:34.938393,2023-02-18 07:06:34.708393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 07:16:37.908393,2023-02-18 07:16:38.078393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 07:27:48.718393,2023-02-18 07:27:48.718393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 07:40:30.398393,2023-02-18 07:40:30.428393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 07:40:47.638393,[],RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 07:41:28.758393,2023-02-18 07:41:28.708393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 07:52:25.678393,2023-02-18 07:52:25.678393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 07:54:40.798393,2023-02-18 07:54:40.748393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 08:12:16.798393,2023-02-18 08:12:16.768393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 08:17:44.038393,2023-02-18 08:17:43.838393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 08:27:40.798393,[],RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 08:31:20.628393,2023-02-18 08:31:20.638393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 08:31:58.758393,2023-02-18 08:31:58.658393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 08:32:56.638393,2023-02-18 08:32:56.648393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 08:34:02.558393,2023-02-18 08:34:02.638393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 08:34:46.638393,2023-02-18 08:34:46.648393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 08:35:04.718393,[],RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 08:36:50.158393,[],RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 08:39:29.518393,2023-02-18 08:39:29.598393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 08:40:37.798393,2023-02-18 08:40:37.848393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 08:41:50.078393,2023-02-18 08:41:50.158393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 08:41:53.758393,[],RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 08:44:22.278393,2023-02-18 08:44:22.248393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 08:45:48.598393,2023-02-18 08:45:48.598393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 08:47:18.608393,2023-02-18 08:47:18.608393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 08:47:22.638393,[],RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 08:49:18.678393,[],RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 08:53:04.198393,2023-02-18 08:53:04.348393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 08:56:50.178393,2023-02-18 08:56:49.988393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 09:00:30.708393,2023-02-18 09:00:30.758393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 09:02:11.638393,2023-02-18 09:02:11.678393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 09:03:35.638393,[],RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 09:04:15.758393,2023-02-18 09:04:15.758393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 09:15:52.638393,2023-02-18 09:15:52.638393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 09:17:12.598393,2023-02-18 09:17:12.558393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 09:19:40.738393,2023-02-18 09:19:40.638393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 09:21:35.598393,2023-02-18 09:21:35.598393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 09:27:09.858393,2023-02-18 09:27:09.978393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 09:29:05.818393,2023-02-18 09:29:05.718393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 09:29:16.798393,2023-02-18 09:29:16.718393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 09:36:25.798393,2023-02-18 09:36:25.728393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
2023-02-18 09:38:40.718393,2023-02-18 09:38:40.718393,RIFO/OV.RIFO..HHZ__20230218T000000Z__20230219T000001Z.mseed
