Fecha1,Coincidencia2,mseed
2023-02-18 00:07:29.808393,2023-02-18 00:07:29.868393,VPLC/OV.VPLC..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 00:10:10.788393,2023-02-18 00:10:10.798393,VPLC/OV.VPLC..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 00:18:36.188393,[],VPLC/OV.VPLC..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 00:20:46.738393,2023-02-18 00:20:46.928393,VPLC/OV.VPLC..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 00:26:04.728393,2023-02-18 00:26:04.768393,VPLC/OV.VPLC..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 00:30:07.808393,2023-02-18 00:30:07.768393,VPLC/OV.VPLC..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 00:33:13.678393,[],VPLC/OV.VPLC..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 00:33:41.728393,[],VPLC/OV.VPLC..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 00:37:31.998393,[],VPLC/OV.VPLC..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 00:40:19.758393,[],VPLC/OV.VPLC..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 00:44:01.938393,2023-02-18 00:44:02.128393,VPLC/OV.VPLC..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 00:46:52.728393,[],VPLC/OV.VPLC..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 00:50:44.608393,2023-02-18 00:50:44.648393,VPLC/OV.VPLC..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 00:54:45.988393,[],VPLC/OV.VPLC..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 01:01:23.918393,[],VPLC/OV.VPLC..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 01:03:12.728393,2023-02-18 01:03:12.848393,VPLC/OV.VPLC..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 01:05:16.768393,2023-02-18 01:05:16.688393,VPLC/OV.VPLC..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 01:15:05.598393,2023-02-18 01:15:05.608393,VPLC/OV.VPLC..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 01:17:43.888393,[],VPLC/OV.VPLC..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 01:18:29.808393,2023-02-18 01:18:30.078393,VPLC/OV.VPLC..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 01:18:52.058393,2023-02-18 01:18:51.818393,VPLC/OV.VPLC..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 01:21:12.298393,[],VPLC/OV.VPLC..HHZ__20230218T000000Z__20230219T000000Z.mseed
