Fecha1,Coincidencia2,mseed
2023-02-18 00:03:12.640000,2023-02-18 00:03:12.680000,VPTE/OV.VPTE..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 00:11:55.600000,2023-02-18 00:11:55.560000,VPTE/OV.VPTE..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 00:15:40.560000,[],VPTE/OV.VPTE..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 00:17:54.440000,[],VPTE/OV.VPTE..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 00:18:34.560000,2023-02-18 00:18:34.580000,VPTE/OV.VPTE..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 00:23:33.800000,2023-02-18 00:23:33.780000,VPTE/OV.VPTE..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 00:31:34.530000,[],VPTE/OV.VPTE..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 00:38:22.560000,2023-02-18 00:38:22.540000,VPTE/OV.VPTE..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 00:41:03.280000,2023-02-18 00:41:03.320000,VPTE/OV.VPTE..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 00:49:55.040000,2023-02-18 00:49:55.080000,VPTE/OV.VPTE..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 00:52:23.650000,2023-02-18 00:52:23.520000,VPTE/OV.VPTE..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 00:52:34.600000,2023-02-18 00:52:34.600000,VPTE/OV.VPTE..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 00:54:25.440000,2023-02-18 00:54:25.480000,VPTE/OV.VPTE..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 00:56:01.720000,2023-02-18 00:56:01.690000,VPTE/OV.VPTE..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 01:00:37.530000,2023-02-18 01:00:37.570000,VPTE/OV.VPTE..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 01:02:07.440000,2023-02-18 01:02:07.540000,VPTE/OV.VPTE..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 01:05:32.600000,2023-02-18 01:05:32.560000,VPTE/OV.VPTE..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 01:10:54.430000,[],VPTE/OV.VPTE..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 01:26:22.520000,2023-02-18 01:26:22.520000,VPTE/OV.VPTE..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 01:37:25.120000,2023-02-18 01:37:25.090000,VPTE/OV.VPTE..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 01:40:07.460000,2023-02-18 01:40:07.080000,VPTE/OV.VPTE..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 01:44:28.520000,[],VPTE/OV.VPTE..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 01:48:15.810000,2023-02-18 01:48:15.800000,VPTE/OV.VPTE..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 02:00:01.390000,[],VPTE/OV.VPTE..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 02:01:35.540000,2023-02-18 02:01:35.800000,VPTE/OV.VPTE..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 02:02:28.560000,2023-02-18 02:02:28.560000,VPTE/OV.VPTE..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 02:09:25.520000,2023-02-18 02:09:25.560000,VPTE/OV.VPTE..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 02:10:55.840000,2023-02-18 02:10:55.880000,VPTE/OV.VPTE..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 02:17:13.960000,2023-02-18 02:17:14.040000,VPTE/OV.VPTE..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 02:18:04.520000,2023-02-18 02:18:04.560000,VPTE/OV.VPTE..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 02:18:22.560000,2023-02-18 02:18:22.520000,VPTE/OV.VPTE..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 02:21:06.400000,[],VPTE/OV.VPTE..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 02:21:22.480000,2023-02-18 02:21:22.660000,VPTE/OV.VPTE..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 02:27:29.520000,2023-02-18 02:27:29.440000,VPTE/OV.VPTE..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 02:32:12.520000,2023-02-18 02:32:12.530000,VPTE/OV.VPTE..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 02:34:37.960000,[],VPTE/OV.VPTE..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 02:50:45.540000,[],VPTE/OV.VPTE..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 02:51:59.480000,2023-02-18 02:51:59.520000,VPTE/OV.VPTE..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 02:55:39.760000,2023-02-18 02:55:40.050000,VPTE/OV.VPTE..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 02:56:22.550000,2023-02-18 02:56:22.860000,VPTE/OV.VPTE..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 03:01:39.940000,2023-02-18 03:01:39.910000,VPTE/OV.VPTE..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 03:04:13.760000,2023-02-18 03:04:13.870000,VPTE/OV.VPTE..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 03:18:16.600000,[],VPTE/OV.VPTE..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 03:27:39.480000,2023-02-18 03:27:39.520000,VPTE/OV.VPTE..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 03:28:48.520000,2023-02-18 03:28:48.530000,VPTE/OV.VPTE..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 03:29:36.560000,[],VPTE/OV.VPTE..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 03:30:10.480000,[],VPTE/OV.VPTE..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 03:34:10.160000,2023-02-18 03:34:10.080000,VPTE/OV.VPTE..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 03:34:46.520000,[],VPTE/OV.VPTE..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 03:48:03.810000,[],VPTE/OV.VPTE..HHZ__20230218T000000Z__20230219T000000Z.mseed
2023-02-18 03:52:59.650000,2023-02-18 03:52:59.640000,VPTE/OV.VPTE..HHZ__20230218T000000Z__20230219T000000Z.mseed
