Fecha1,Coincidencia2,mseed
2023-02-18 00:34:22.668391,2023-02-18 00:34:22.708391,CPMI_OV_HH_2023-02-18T00:34:18.508391Z
2023-02-18 01:07:56.558391,2023-02-18 01:07:56.628391,CPMI_OV_HH_2023-02-18T01:07:12.508391Z
2023-02-18 01:30:22.868391,2023-02-18 01:30:22.738391,CPMI_OV_HH_2023-02-18T01:30:18.508391Z
2023-02-18 04:54:04.658391,2023-02-18 04:54:04.638391,CPMI_OV_HH_2023-02-18T04:54:00.508391Z
2023-02-18 05:45:13.588391,2023-02-18 05:45:13.588391,CPMI_OV_HH_2023-02-18T05:45:06.508391Z
2023-02-18 05:57:13.908391,2023-02-18 05:57:13.918391,CPMI_OV_HH_2023-02-18T05:57:00.508391Z
2023-02-18 08:18:28.648391,[],CPMI_OV_HH_2023-02-18T08:18:24.508391Z
2023-02-18 08:24:17.468391,2023-02-18 08:24:17.508391,CPMI_OV_HH_2023-02-18T08:24:00.508391Z
2023-02-18 08:27:38.588391,2023-02-18 08:27:38.588391,CPMI_OV_HH_2023-02-18T08:27:30.508391Z
2023-02-18 08:29:11.908391,2023-02-18 08:29:11.908391,CPMI_OV_HH_2023-02-18T08:28:54.508391Z
2023-02-18 08:39:29.548391,2023-02-18 08:39:29.548391,CPMI_OV_HH_2023-02-18T08:39:24.508391Z
2023-02-18 08:57:17.328391,2023-02-18 08:57:17.248391,CPMI_OV_HH_2023-02-18T08:56:54.508391Z
2023-02-18 11:19:55.708391,2023-02-18 11:19:55.708391,CPMI_OV_HH_2023-02-18T11:19:42.508391Z
2023-02-18 11:46:22.828391,[],CPMI_OV_HH_2023-02-18T11:46:18.508391Z
2023-02-18 12:23:31.668391,[],CPMI_OV_HH_2023-02-18T12:23:24.508391Z
2023-02-18 14:44:10.688391,2023-02-18 14:44:10.708391,CPMI_OV_HH_2023-02-18T14:44:06.508391Z
2023-02-18 15:42:19.788391,[],CPMI_OV_HH_2023-02-18T15:42:12.508391Z
2023-02-18 16:13:09.658391,[],CPMI_OV_HH_2023-02-18T16:13:00.508391Z
2023-02-18 19:02:49.708391,2023-02-18 19:02:49.718391,CPMI_OV_HH_2023-02-18T19:02:24.508391Z
2023-02-18 19:04:04.028391,[],CPMI_OV_HH_2023-02-18T19:03:48.508391Z
2023-02-18 19:10:10.708391,2023-02-18 19:10:10.708391,CPMI_OV_HH_2023-02-18T19:10:06.508391Z
2023-02-18 19:17:10.668391,2023-02-18 19:17:10.658391,CPMI_OV_HH_2023-02-18T19:17:06.508391Z
2023-02-18 20:11:46.628391,2023-02-18 20:11:46.628391,CPMI_OV_HH_2023-02-18T20:11:42.508391Z
2023-02-18 20:22:59.548391,2023-02-18 20:22:59.548391,CPMI_OV_HH_2023-02-18T20:22:54.508391Z
2023-02-18 23:37:10.628391,2023-02-18 23:37:10.638391,CPMI_OV_HH_2023-02-18T23:36:48.508391Z
2023-02-18 23:56:43.868391,2023-02-18 23:56:43.868391,CPMI_OV_HH_2023-02-18T23:56:24.508391Z
2023-02-18 00:52:14.638391,[],CPMI_OV_HH_2023-02-18T00:51:49.248391Z
2023-02-18 01:46:30.288391,2023-02-18 01:46:30.288391,CPMI_OV_HH_2023-02-18T01:46:25.248391Z
2023-02-18 03:21:20.708391,2023-02-18 03:21:20.688391,CPMI_OV_HH_2023-02-18T03:20:55.248391Z
2023-02-18 04:07:53.408391,2023-02-18 04:07:53.408391,CPMI_OV_HH_2023-02-18T04:07:49.248391Z
2023-02-18 08:04:08.438391,2023-02-18 08:04:08.448391,CPMI_OV_HH_2023-02-18T08:03:43.248391Z
2023-02-18 08:31:58.648391,2023-02-18 08:31:58.648391,CPMI_OV_HH_2023-02-18T08:31:43.248391Z
2023-02-18 09:14:14.248391,2023-02-18 09:14:14.268391,CPMI_OV_HH_2023-02-18T09:13:43.248391Z
2023-02-18 09:48:47.448391,2023-02-18 09:48:47.448391,CPMI_OV_HH_2023-02-18T09:48:43.248391Z
2023-02-18 11:02:30.648391,2023-02-18 11:02:30.648391,CPMI_OV_HH_2023-02-18T11:02:13.248391Z
2023-02-18 12:19:59.378391,2023-02-18 12:19:59.368391,CPMI_OV_HH_2023-02-18T12:19:55.248391Z
2023-02-18 12:32:35.488391,[],CPMI_OV_HH_2023-02-18T12:32:31.248391Z
2023-02-18 13:30:06.488391,2023-02-18 13:30:06.488391,CPMI_OV_HH_2023-02-18T13:29:55.248391Z
2023-02-18 14:10:35.448391,2023-02-18 14:10:35.408391,CPMI_OV_HH_2023-02-18T14:10:31.248391Z
2023-02-18 15:33:15.488391,2023-02-18 15:33:15.488391,CPMI_OV_HH_2023-02-18T15:33:07.248391Z
2023-02-18 16:42:11.298391,[],CPMI_OV_HH_2023-02-18T16:41:43.248391Z
2023-02-18 17:32:48.388391,2023-02-18 17:32:48.398391,CPMI_OV_HH_2023-02-18T17:32:07.248391Z
2023-02-18 18:09:59.408391,2023-02-18 18:09:59.408391,CPMI_OV_HH_2023-02-18T18:09:55.248391Z
2023-02-18 18:20:40.328391,2023-02-18 18:20:40.348391,CPMI_OV_HH_2023-02-18T18:20:25.248391Z
2023-02-18 21:01:53.248391,2023-02-18 21:01:53.248391,CPMI_OV_HH_2023-02-18T21:01:25.248391Z
2023-02-18 21:53:17.398391,2023-02-18 21:53:17.408391,CPMI_OV_HH_2023-02-18T21:53:13.248391Z
2023-02-18 22:13:03.588391,2023-02-18 22:13:03.638391,CPMI_OV_HH_2023-02-18T22:12:49.248391Z
2023-02-18 01:30:09.518391,2023-02-18 01:30:09.508391,CPMI_OV_HH_2023-02-18T01:29:38.118391Z
2023-02-18 01:43:42.138391,2023-02-18 01:43:42.138391,CPMI_OV_HH_2023-02-18T01:43:38.118391Z
2023-02-18 02:14:30.278391,2023-02-18 02:14:30.268391,CPMI_OV_HH_2023-02-18T02:14:26.118391Z
2023-02-18 02:25:11.398391,2023-02-18 02:25:11.398391,CPMI_OV_HH_2023-02-18T02:24:56.118391Z
2023-02-18 02:50:23.628391,2023-02-18 02:50:23.608391,CPMI_OV_HH_2023-02-18T02:50:08.118391Z
2023-02-18 03:43:24.158391,2023-02-18 03:43:24.158391,CPMI_OV_HH_2023-02-18T03:43:20.118391Z
2023-02-18 06:12:15.038391,2023-02-18 06:12:15.038391,CPMI_OV_HH_2023-02-18T06:11:44.118391Z
2023-02-18 07:12:02.238391,2023-02-18 07:12:02.238391,CPMI_OV_HH_2023-02-18T07:11:56.118391Z
2023-02-18 07:54:21.518391,2023-02-18 07:54:21.518391,CPMI_OV_HH_2023-02-18T07:53:56.118391Z
2023-02-18 08:20:36.348391,2023-02-18 08:20:36.358391,CPMI_OV_HH_2023-02-18T08:20:32.118391Z
2023-02-18 10:14:47.198391,2023-02-18 10:14:47.198391,CPMI_OV_HH_2023-02-18T10:14:38.118391Z
2023-02-18 10:38:30.318391,[],CPMI_OV_HH_2023-02-18T10:38:26.118391Z
2023-02-18 10:44:17.338391,2023-02-18 10:44:17.318391,CPMI_OV_HH_2023-02-18T10:44:02.118391Z
2023-02-18 11:20:35.118391,[],CPMI_OV_HH_2023-02-18T11:20:26.118391Z
2023-02-18 12:22:06.198391,2023-02-18 12:22:06.228391,CPMI_OV_HH_2023-02-18T12:22:02.118391Z
2023-02-18 12:55:04.198391,[],CPMI_OV_HH_2023-02-18T12:54:56.118391Z
2023-02-18 13:48:19.268391,2023-02-18 13:48:19.278391,CPMI_OV_HH_2023-02-18T13:48:08.118391Z
2023-02-18 13:59:37.938391,[],CPMI_OV_HH_2023-02-18T13:59:20.118391Z
2023-02-18 14:05:01.158391,2023-02-18 14:05:01.198391,CPMI_OV_HH_2023-02-18T14:04:56.118391Z
2023-02-18 14:15:03.358391,2023-02-18 14:15:03.368391,CPMI_OV_HH_2023-02-18T14:14:44.118391Z
2023-02-18 14:23:59.348391,2023-02-18 14:23:59.358391,CPMI_OV_HH_2023-02-18T14:23:50.118391Z
2023-02-18 15:10:48.228391,2023-02-18 15:10:48.198391,CPMI_OV_HH_2023-02-18T15:10:44.118391Z
2023-02-18 15:16:25.278391,2023-02-18 15:16:25.278391,CPMI_OV_HH_2023-02-18T15:16:20.118391Z
2023-02-18 15:17:48.238391,2023-02-18 15:17:48.238391,CPMI_OV_HH_2023-02-18T15:17:44.118391Z
2023-02-18 15:57:43.278391,2023-02-18 15:57:43.278391,CPMI_OV_HH_2023-02-18T15:57:38.118391Z
2023-02-18 16:03:43.158391,2023-02-18 16:03:43.168391,CPMI_OV_HH_2023-02-18T16:03:14.118391Z
2023-02-18 18:09:33.438391,2023-02-18 18:09:33.438391,CPMI_OV_HH_2023-02-18T18:09:14.118391Z
2023-02-18 18:54:48.358391,2023-02-18 18:54:48.358391,CPMI_OV_HH_2023-02-18T18:54:44.118391Z
2023-02-18 20:18:53.358391,2023-02-18 20:18:53.388391,CPMI_OV_HH_2023-02-18T20:18:44.118391Z
2023-02-18 20:25:17.898391,2023-02-18 20:25:17.928391,CPMI_OV_HH_2023-02-18T20:25:02.118391Z
2023-02-18 21:32:27.508391,2023-02-18 21:32:27.548391,CPMI_OV_HH_2023-02-18T21:32:14.118391Z
2023-02-18 21:42:11.238391,2023-02-18 21:42:11.238391,CPMI_OV_HH_2023-02-18T21:42:02.118391Z
2023-02-18 21:51:21.278391,2023-02-18 21:51:21.278391,CPMI_OV_HH_2023-02-18T21:51:08.118391Z
2023-02-18 22:09:03.318391,2023-02-18 22:09:03.318391,CPMI_OV_HH_2023-02-18T22:08:38.118391Z
2023-02-18 22:21:21.398391,2023-02-18 22:21:21.398391,CPMI_OV_HH_2023-02-18T22:21:14.118391Z
2023-02-18 22:33:13.158391,2023-02-18 22:33:13.158391,CPMI_OV_HH_2023-02-18T22:33:08.118391Z
2023-02-18 23:14:43.948391,2023-02-18 23:14:43.968391,CPMI_OV_HH_2023-02-18T23:14:26.118391Z
[],2023-02-18 06:04:04.858391,CPMI_OV_HH_2023-02-18T06:04:00.508391Z
[],2023-02-18 12:58:31.668391,CPMI_OV_HH_2023-02-18T12:58:24.508391Z
[],2023-02-18 05:55:41.408391,CPMI_OV_HH_2023-02-18T05:55:37.248391Z
[],2023-02-18 10:09:47.388391,CPMI_OV_HH_2023-02-18T10:09:43.248391Z
[],2023-02-18 19:04:04.068391,CPMI_OV_HH_2023-02-18T19:03:50.118391Z
[],2023-02-18 19:46:36.318391,CPMI_OV_HH_2023-02-18T19:46:32.118391Z
