Fecha1,Coincidencia2,mseed
2023-02-18 02:35:00.200000,2023-02-18 02:35:00.210000,HDC3_OV_HH_2023-02-18T02:34:42.970000Z
2023-02-18 03:35:59.050000,2023-02-18 03:35:59.050000,HDC3_OV_HH_2023-02-18T03:35:36.970000Z
2023-02-18 04:35:54.110000,2023-02-18 04:35:54.110000,HDC3_OV_HH_2023-02-18T04:35:48.970000Z
2023-02-18 04:54:49.090000,2023-02-18 04:54:49.090000,HDC3_OV_HH_2023-02-18T04:54:42.970000Z
2023-02-18 05:03:16.130000,2023-02-18 05:03:16.170000,HDC3_OV_HH_2023-02-18T05:03:06.970000Z
2023-02-18 05:38:53.090000,2023-02-18 05:38:53.090000,HDC3_OV_HH_2023-02-18T05:38:48.970000Z
2023-02-18 07:05:12.500000,2023-02-18 07:05:12.490000,HDC3_OV_HH_2023-02-18T07:04:54.970000Z
2023-02-18 07:34:23,2023-02-18 07:34:22.990000,HDC3_OV_HH_2023-02-18T07:34:18.970000Z
2023-02-18 07:56:56.090000,2023-02-18 07:56:56.090000,HDC3_OV_HH_2023-02-18T07:56:42.970000Z
2023-02-18 08:10:47.090000,2023-02-18 08:10:47.090000,HDC3_OV_HH_2023-02-18T08:10:42.970000Z
2023-02-18 08:29:09.970000,[],HDC3_OV_HH_2023-02-18T08:28:54.970000Z
2023-02-18 08:31:58.040000,2023-02-18 08:31:58.040000,HDC3_OV_HH_2023-02-18T08:31:42.970000Z
2023-02-18 08:40:32.240000,2023-02-18 08:40:32.170000,HDC3_OV_HH_2023-02-18T08:40:06.970000Z
2023-02-18 08:47:18.050000,2023-02-18 08:47:18.050000,HDC3_OV_HH_2023-02-18T08:47:06.970000Z
2023-02-18 09:02:11.090000,2023-02-18 09:02:11.090000,HDC3_OV_HH_2023-02-18T09:01:48.970000Z
2023-02-18 09:08:54.130000,2023-02-18 09:08:54.120000,HDC3_OV_HH_2023-02-18T09:08:48.970000Z
2023-02-18 10:21:24.160000,2023-02-18 10:21:24.170000,HDC3_OV_HH_2023-02-18T10:20:54.970000Z
2023-02-18 10:35:45.210000,2023-02-18 10:35:45.210000,HDC3_OV_HH_2023-02-18T10:35:36.970000Z
2023-02-18 11:34:31.210000,2023-02-18 11:34:31.210000,HDC3_OV_HH_2023-02-18T11:34:24.970000Z
2023-02-18 12:24:11.010000,2023-02-18 12:24:11.010000,HDC3_OV_HH_2023-02-18T12:24:06.970000Z
2023-02-18 13:25:16.050000,[],HDC3_OV_HH_2023-02-18T13:25:00.970000Z
2023-02-18 16:29:11.010000,2023-02-18 16:29:11.010000,HDC3_OV_HH_2023-02-18T16:29:06.970000Z
2023-02-18 17:55:59.050000,2023-02-18 17:55:59.050000,HDC3_OV_HH_2023-02-18T17:55:54.970000Z
2023-02-18 18:40:47.140000,2023-02-18 18:40:47.150000,HDC3_OV_HH_2023-02-18T18:40:42.970000Z
2023-02-18 20:41:53.130000,2023-02-18 20:41:53.130000,HDC3_OV_HH_2023-02-18T20:41:48.970000Z
2023-02-18 20:49:39.010000,2023-02-18 20:49:39.020000,HDC3_OV_HH_2023-02-18T20:49:30.970000Z
2023-02-18 21:31:38.130000,2023-02-18 21:31:38.130000,HDC3_OV_HH_2023-02-18T21:31:30.970000Z
2023-02-18 21:33:04.290000,2023-02-18 21:33:04.290000,HDC3_OV_HH_2023-02-18T21:32:54.970000Z
2023-02-18 22:22:14.330000,2023-02-18 22:22:14.340000,HDC3_OV_HH_2023-02-18T22:21:54.970000Z
2023-02-18 22:39:34.240000,2023-02-18 22:39:34.230000,HDC3_OV_HH_2023-02-18T22:39:24.970000Z
2023-02-18 00:08:39.910000,2023-02-18 00:08:39.930000,HDC3_OV_HH_2023-02-18T00:08:24.150000Z
2023-02-18 00:21:46.380000,2023-02-18 00:21:46.360000,HDC3_OV_HH_2023-02-18T00:21:42.150000Z
2023-02-18 01:00:37.390000,2023-02-18 01:00:37.350000,HDC3_OV_HH_2023-02-18T01:00:12.150000Z
2023-02-18 01:08:40.310000,2023-02-18 01:08:40.310000,HDC3_OV_HH_2023-02-18T01:08:36.150000Z
2023-02-18 01:57:43.310000,2023-02-18 01:57:43.310000,HDC3_OV_HH_2023-02-18T01:57:36.150000Z
