Fecha1,Coincidencia2,mseed
2023-02-18 00:28:04.738393,2023-02-18 00:28:04.748393,RIFO_OV_HH_2023-02-18T00:28:00.598393Z
2023-02-18 00:53:25.958393,2023-02-18 00:53:25.958393,RIFO_OV_HH_2023-02-18T00:53:12.598393Z
2023-02-18 01:05:53.758393,2023-02-18 01:05:53.758393,RIFO_OV_HH_2023-02-18T01:05:48.598393Z
2023-02-18 03:47:13.768393,2023-02-18 03:47:13.758393,RIFO_OV_HH_2023-02-18T03:46:48.598393Z
2023-02-18 04:28:37.918393,2023-02-18 04:28:37.918393,RIFO_OV_HH_2023-02-18T04:28:06.598393Z
2023-02-18 04:50:48.098393,[],RIFO_OV_HH_2023-02-18T04:50:30.598393Z
2023-02-18 05:33:26.148393,2023-02-18 05:33:26.158393,RIFO_OV_HH_2023-02-18T05:33:12.598393Z
2023-02-18 08:31:58.678393,2023-02-18 08:31:58.678393,RIFO_OV_HH_2023-02-18T08:31:42.598393Z
2023-02-18 08:34:02.598393,[],RIFO_OV_HH_2023-02-18T08:33:06.598393Z
2023-02-18 08:36:50.198393,2023-02-18 08:36:50.158393,RIFO_OV_HH_2023-02-18T08:36:36.598393Z
2023-02-18 08:39:29.598393,2023-02-18 08:39:29.598393,RIFO_OV_HH_2023-02-18T08:39:24.598393Z
2023-02-18 08:40:37.798393,2023-02-18 08:40:37.838393,RIFO_OV_HH_2023-02-18T08:40:06.598393Z
2023-02-18 08:44:22.758393,2023-02-18 08:44:22.718393,RIFO_OV_HH_2023-02-18T08:44:18.598393Z
2023-02-18 08:45:48.638393,2023-02-18 08:45:48.638393,RIFO_OV_HH_2023-02-18T08:45:42.598393Z
2023-02-18 08:57:43.878393,[],RIFO_OV_HH_2023-02-18T08:57:36.598393Z
2023-02-18 09:04:15.718393,2023-02-18 09:04:15.718393,RIFO_OV_HH_2023-02-18T09:03:54.598393Z
2023-02-18 09:15:52.668393,2023-02-18 09:15:52.678393,RIFO_OV_HH_2023-02-18T09:15:48.598393Z
2023-02-18 09:27:09.878393,2023-02-18 09:27:09.878393,RIFO_OV_HH_2023-02-18T09:27:00.598393Z
2023-02-18 09:36:25.678393,2023-02-18 09:36:25.678393,RIFO_OV_HH_2023-02-18T09:36:06.598393Z
2023-02-18 09:48:17.758393,2023-02-18 09:48:17.758393,RIFO_OV_HH_2023-02-18T09:48:00.598393Z
