Fecha1,Coincidencia2,mseed
2023-02-18 00:40:19.818393,2023-02-18 00:40:19.778393,VPLC_OV_HH_2023-02-18T00:39:54.568393Z
2023-02-18 01:36:13.668393,2023-02-18 01:36:13.668393,VPLC_OV_HH_2023-02-18T01:35:54.568393Z
2023-02-18 02:43:12.728393,2023-02-18 02:43:12.718393,VPLC_OV_HH_2023-02-18T02:43:06.568393Z
2023-02-18 03:07:10.288393,2023-02-18 03:07:10.258393,VPLC_OV_HH_2023-02-18T03:06:54.568393Z
2023-02-18 03:08:25.768393,2023-02-18 03:08:25.788393,VPLC_OV_HH_2023-02-18T03:08:18.568393Z
2023-02-18 03:27:16.648393,2023-02-18 03:27:16.648393,VPLC_OV_HH_2023-02-18T03:27:12.568393Z
2023-02-18 04:22:34.718393,2023-02-18 04:22:34.708393,VPLC_OV_HH_2023-02-18T04:22:30.568393Z
2023-02-18 04:26:06.708393,2023-02-18 04:26:06.698393,VPLC_OV_HH_2023-02-18T04:26:00.568393Z
2023-02-18 05:13:03.728393,2023-02-18 05:13:03.728393,VPLC_OV_HH_2023-02-18T05:12:54.568393Z
2023-02-18 05:20:56.608393,[],VPLC_OV_HH_2023-02-18T05:20:36.568393Z
2023-02-18 05:46:26.838393,2023-02-18 05:46:26.838393,VPLC_OV_HH_2023-02-18T05:45:48.568393Z
2023-02-18 06:02:42.698393,2023-02-18 06:02:42.688393,VPLC_OV_HH_2023-02-18T06:02:36.568393Z
2023-02-18 06:35:38.678393,2023-02-18 06:35:38.688393,VPLC_OV_HH_2023-02-18T06:35:30.568393Z
2023-02-18 07:10:51.668393,2023-02-18 07:10:51.678393,VPLC_OV_HH_2023-02-18T07:10:30.568393Z
2023-02-18 07:29:08.078393,2023-02-18 07:29:08.078393,VPLC_OV_HH_2023-02-18T07:28:42.568393Z
2023-02-18 08:27:35.588393,2023-02-18 08:27:35.588393,VPLC_OV_HH_2023-02-18T08:27:30.568393Z
2023-02-18 08:39:26.928393,2023-02-18 08:39:26.928393,VPLC_OV_HH_2023-02-18T08:38:42.568393Z
2023-02-18 08:47:15.648393,2023-02-18 08:47:15.678393,VPLC_OV_HH_2023-02-18T08:47:06.568393Z
2023-02-18 09:00:32.578393,2023-02-18 09:00:32.578393,VPLC_OV_HH_2023-02-18T09:00:24.568393Z
2023-02-18 09:31:20.568393,2023-02-18 09:31:20.568393,VPLC_OV_HH_2023-02-18T09:31:12.568393Z
2023-02-18 09:48:15.798393,2023-02-18 09:48:15.798393,VPLC_OV_HH_2023-02-18T09:48:00.568393Z
2023-02-18 10:23:04.848393,2023-02-18 10:23:04.808393,VPLC_OV_HH_2023-02-18T10:23:00.568393Z
2023-02-18 10:49:11.768393,2023-02-18 10:49:11.808393,VPLC_OV_HH_2023-02-18T10:48:54.568393Z
2023-02-18 11:09:20.568393,2023-02-18 11:09:20.568393,VPLC_OV_HH_2023-02-18T11:09:12.568393Z
2023-02-18 12:24:53.738393,2023-02-18 12:24:53.728393,VPLC_OV_HH_2023-02-18T12:24:48.568393Z
2023-02-18 13:30:07.648393,2023-02-18 13:30:07.668393,VPLC_OV_HH_2023-02-18T13:29:54.568393Z
2023-02-18 14:39:58.778393,2023-02-18 14:39:58.798393,VPLC_OV_HH_2023-02-18T14:39:54.568393Z
2023-02-18 15:54:23.928393,2023-02-18 15:54:23.928393,VPLC_OV_HH_2023-02-18T15:54:06.568393Z
