code,longitude,latitude,elevation,channels
RIFO,-83.9228,10.3172,139,HHE_HHN_HHZ
HDC3,-84.1114,10.0021,1175,HHE_HHN_HHZ
VIMO,-83.9432,10.0242,1754,HHE_HHN_HHZ
VPLC,-84.2283,10.165,2434,HHE_HHN_HHZ
VPTE,-84.1984,10.1718,2117.3,HHE_HHN_HHZ
VPVF,-84.2297,10.2045,2418.1,HHE_HHN_HHZ
JPAC,-84.0519,10.0261,1403,HHE_HHN_HHZ
CARI,-84.0339,10.0417,1612,HHE_HHN_HHZ
TUNEL,-84.0121,10.0574,1563,HHE_HHN_HHZ
AVIA,-84.0632,10.0516,1678,HHE_HHN_HHZ
FIZU,-84.0171,10.0480,1600,HHE_HHN_HHZ
PATR,-83.9682,10.1896,508,HHE_HHN_HHZ
